FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF
3516,5180,126.5696818,45.80212832,25,20.31540302,0.61247208,168.2319516,0.61652069
3517,5181,126.5832465,45.79327778,25,20.31540302,0.61247208,2242.520256,0.61694265
3518,5182,126.5942334,45.79566239,25,20.31540302,0.513618424,486.3147133,0.48029907
3519,5185,126.58408,45.79682895,25,20.31540302,0.61247208,394.6090004,0.61653638
3520,5186,126.57817,45.79386069,25,20.31540302,0.61247208,536.3592333,0.61657614
3521,5190,126.5924929,45.81045025,25,20.31540302,0.513618424,1168.170591,0.47956011
3522,5191,126.5933272,45.81400136,25,20.31540302,0.513618424,2364.655154,0.48021941
3523,5192,126.5764254,45.80864823,25,20.31540302,0.61247208,1381.239236,0.61627043
3524,5193,126.5713474,45.8092308,25,20.31540302,0.61247208,1020.091204,0.61627043
3525,5194,126.5772586,45.81219943,25,20.31540302,0.61247208,280.45218,0.61627043
3526,5195,126.5721803,45.81278203,25,20.31540302,0.61247208,2614.964356,0.61627043
3527,5196,126.5662693,45.80981314,25,20.31540302,0.61247208,828.4069536,0.61627043
3528,5197,126.5671019,45.8133644,25,20.31540302,0.61247208,1946.277532,0.61627043
3529,5198,126.5806698,45.80451425,25,20.31540302,0.61247208,316.1658533,0.61616987
3530,5199,126.5705146,45.80567956,25,20.31540302,0.61247208,609.2845615,0.61627043
3531,5200,126.5865811,45.8074824,25,20.31540302,0.513618424,1372.798452,0.48040986
3532,5201,126.5755922,45.80509702,25,20.31540302,0.61247208,691.9003337,0.61627043
3533,5203,126.5815033,45.80806543,25,20.31540302,0.61247208,2075.919012,0.61591961
3534,5204,126.5874149,45.81103354,25,20.31540302,0.513618424,1079.737286,0.47956011
3535,5205,126.5916588,45.80689915,25,20.31540302,0.513618424,402.9706765,0.48040986
3536,5206,126.5823368,45.8116166,25,20.31540302,0.61247208,903.3703121,0.61591961
3537,5207,126.5831705,45.81516776,25,20.31540302,0.513618424,2158.621027,0.47995504
3540,5210,126.5476188,45.81924299,25,20.31540302,0.61247208,1346.763361,0.61630661
3546,5216,126.5518661,45.81511016,25,19.18472755,0.61247208,1467.745647,0.61630661
3547,5217,126.5628558,45.81749783,25,20.31540302,0.61247208,2177.729887,0.61627043
3550,5220,126.5467873,45.81569162,25,19.18472755,0.61247208,2902.876141,0.61630661
3552,5222,126.5526979,45.8186615,25,20.31540302,0.61247208,1483.456509,0.61630661
3553,5223,126.5577769,45.81807978,25,20.31540302,0.61247208,1730.564595,0.61630661
3572,5243,126.5569448,45.81452847,25,19.18472755,0.61247208,5321.265034,0.61630661
3579,5250,126.578092,45.81575062,25,20.31540302,0.61247208,3316.352115,0.61591961
3580,5251,126.5679346,45.81691566,25,20.31540302,0.61247208,1127.081844,0.61627043
3582,5253,126.5730133,45.81633325,25,20.31540302,0.61247208,1386.105077,0.61627043
3606,5277,126.5883229,45.79269465,25,20.31540302,0.513618424,1148.837741,0.48099092
3608,5280,126.5891568,45.79624578,25,20.31540302,0.513618424,400.8095693,0.4800347
3609,5283,126.5882489,45.81458467,25,20.31540302,0.513618424,1337.606039,0.47995504
3620,5297,126.5967364,45.80631566,25,20.31540302,0.513618424,846.8723925,0.48067423
3622,5300,126.5984055,45.81341781,25,20.31540302,0.513618424,3342.606659,0.48021941
3623,5301,126.5975709,45.80986674,25,20.31540302,0.513618424,1917.757756,0.47982448
3631,5311,126.5933993,45.79211129,25,20.31540302,0.513618424,1790.813809,0.48125529
3409,5049,126.645883,45.77147615,36,20.31540302,0.460420398,3210.314758,0.45129975
3425,5065,126.6509078,45.7927808,36,20.31540302,0.513618424,2558.26527,0.48135445
3428,5068,126.6002136,45.77673966,36,21.56491593,0.513618424,108.7328635,0.48235613
3429,5069,126.6052884,45.77615573,36,21.56491593,0.513618424,2340.567584,0.48282109
