FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04
1149,1901,126.525301,45.70146397,16,20.31540302,0.460420398,1369.696638
1150,1902,126.5370967,45.70740524,19,20.31540302,0.460420398,1249.989665
1151,1903,126.5261296,45.7050155,19,20.31540302,0.460420398,2172.259351
1152,1904,126.5328568,45.71153774,19,20.31540302,0.460420398,1164.242149
1153,1905,126.5269584,45.70856703,19,20.31540302,0.460420398,1271.003862
1154,1906,126.541336,45.70327256,19,20.31540302,0.460420398,2173.868349
1155,1907,126.5523034,45.70566084,19,20.31540302,0.460420398,1220.058247
1156,1908,126.5429955,45.71037543,19,21.56491593,0.460420398,695.9308541
1157,1910,126.5277873,45.71211856,19,20.31540302,0.513618424,1008.324273
1158,1911,126.5421657,45.706824,19,20.31540302,0.460420398,1626.058628
1159,1912,126.5362673,45.70385377,19,20.31540302,0.460420398,283.2953728
1160,1913,126.5480647,45.70979393,19,21.56491593,0.460420398,887.3214081
1161,1914,126.5438254,45.71392686,19,21.56491593,0.460420398,989.2050025
1162,1915,126.5379262,45.7109567,19,20.31540302,0.460420398,822.8725048
1163,1916,126.5505557,45.72044811,19,21.56491593,0.460420398,1649.579233
1164,1917,126.5286162,45.71567007,19,20.31540302,0.513618424,1638.134093
1165,1918,126.5294453,45.71922158,19,20.31540302,0.513618424,1562.656431
1166,1919,126.5235463,45.71625069,19,20.31540302,0.513618424,2016.193698
1167,1920,126.5345154,45.71864071,19,21.56491593,0.513618424,3317.190199
1168,1921,126.5353449,45.72219218,19,21.56491593,0.513618424,1969.017984
1169,1922,126.524375,45.71980223,19,20.31540302,0.513618424,708.5053047
1170,1923,126.5167192,45.73161761,24,20.31540302,0.513618424,1277.329555
1171,1924,126.5387558,45.71450816,19,21.56491593,0.460420398,2393.614198
1172,1925,126.5404152,45.72161105,19,21.56491593,0.513618424,1162.01185
1173,1926,126.5302744,45.72277309,19,21.56491593,0.513618424,1514.735789
1174,1927,126.5446554,45.71747828,19,21.56491593,0.460420398,909.9179072
1175,1928,126.533686,45.71508923,19,20.31540302,0.513618424,2356.381265
1176,1929,126.5488949,45.71334533,19,21.56491593,0.460420398,1222.466088
1177,1930,126.5395855,45.71805961,19,21.56491593,0.460420398,2153.135273
1178,1931,126.5454855,45.72102969,19,21.56491593,0.460420398,1135.90084
1179,1932,126.5497253,45.71689672,19,21.56491593,0.460420398,903.7130571
1180,1933,126.5514731,45.70210946,19,20.31540302,0.460420398,939.9839391
1181,1934,126.5582029,45.70863026,19,21.56491593,0.460420398,475.3698887
1182,1935,126.5472346,45.70624253,19,20.31540302,0.460420398,2491.337724
1183,1936,126.5573721,45.70507892,19,20.31540302,0.460420398,1099.179626
1184,1937,126.5464046,45.70269112,19,20.31540302,0.460420398,1524.338129
1185,1938,126.5683406,45.70746568,19,21.56491593,0.460420398,2182.767933
1186,1939,126.5590337,45.7121816,19,21.56491593,0.460420398,2716.677417
1187,1940,126.5531338,45.70921221,19,21.56491593,0.460420398,2424.082944
1188,1941,126.5657656,45.71870198,19,21.56491593,0.460420398,2538.037732
1189,1942,126.5665971,45.72225327,19,22.94575646,0.460420398,986.0354113
1190,1943,126.5598647,45.71573293,19,21.56491593,0.460420398,1823.181969
1191,1944,126.5539644,45.71276358,19,21.56491593,0.460420398,1449.926961
1192,1945,126.564103,45.71159939,19,21.56491593,0.460420398,902.717784
1193,1946,126.554795,45.71631494,19,21.56491593,0.460420398,1571.782649
1194,1947,126.5606957,45.71928425,19,21.56491593,0.460420398,1366.015542
1195,1948,126.5649342,45.71515069,19,21.56491593,0.460420398,1423.314184
1196,1949,126.5556257,45.71986629,19,21.56491593,0.460420398,579.4028248
1197,1950,126.5725777,45.70333179,19,20.31540302,0.460420398,1830.358961
1198,1951,126.5835466,45.7057171,14,20.31540302,0.460420398,747.1978678
1199,1952,126.5742412,45.71043429,19,21.56491593,0.460420398,2062.47493
1200,1953,126.5632718,45.70804808,19,21.56491593,0.460420398,1443.470694
1201,1954,126.5734094,45.70688304,19,21.56491593,0.460420398,1832.053107
1202,1955,126.5624407,45.70449677,19,20.31540302,0.460420398,1298.761446
1203,1956,126.5675092,45.70391439,19,20.31540302,0.460420398,1573.976716
1204,1957,126.5793101,45.7098514,14,21.56491593,0.460420398,766.7352873
1205,1958,126.5750731,45.71398553,19,21.56491593,0.460420398,1577.363087
1206,1959,126.5691721,45.71101695,19,21.56491593,0.460420398,1502.314999
1207,1960,126.5818071,45.72050501,14,22.94575646,0.460420398,664.9043995
1208,1961,126.5817317,45.74239523,17,24.47172754,0.460420398,6143.720986
1209,1962,126.5759051,45.71753676,19,22.94575646,0.460420398,1119.360669
1210,1963,126.5700037,45.71456822,19,21.56491593,0.460420398,1783.800214
1211,1964,126.5801424,45.71340261,14,21.56491593,0.460420398,2193.598838
1212,1965,126.5708354,45.71811949,19,22.94575646,0.460420398,1375.258097
1213,1966,126.5767372,45.72108799,19,22.94575646,0.460420398,1886.212696
1214,1967,126.5809747,45.71695381,14,22.94575646,0.460420398,883.1521761
1215,1968,126.5615269,45.72283557,19,22.94575646,0.460420398,967.3800092
1216,1969,126.5716672,45.72167074,19,22.94575646,0.460420398,2982.701788
1217,1970,126.572499,45.725222,19,22.94575646,0.460420398,953.4538654
1218,1971,126.5826396,45.7240562,14,22.94575646,0.460420398,1760.292623
1219,1972,126.5268618,45.73045682,19,20.31540302,0.513618424,1753.603699
1220,1973,126.5252039,45.72335377,19,20.31540302,0.513618424,1337.22967
1221,1974,126.5260328,45.7269053,19,20.31540302,0.513618424,910.3055894
1222,1975,126.531933,45.72987608,19,21.56491593,0.513618424,1424.770098
1223,1976,126.5327625,45.73342757,19,20.31540302,0.513618424,1685.928284
1224,1977,126.5412451,45.72516249,19,21.56491593,0.513618424,762.575082
1225,1978,126.5522168,45.72755086,19,21.56491593,0.460420398,3139.931197
1226,1979,126.5420751,45.72871392,19,21.56491593,0.513618424,1021.816005
1227,1980,126.5370041,45.72929512,19,21.56491593,0.513618424,1235.261029
1228,1981,126.5429052,45.73226535,19,21.56491593,0.513618424,2221.215306
1229,1982,126.5311037,45.72632459,19,21.56491593,0.513618424,974.2103248
1230,1983,126.5361744,45.72574365,19,21.56491593,0.513618424,1453.288194
1231,1984,126.5479764,45.7316839,19,21.56491593,0.513618424,3575.844138
1232,1985,126.5437353,45.73581677,19,21.56491593,0.513618424,2957.182652
