FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF,PM_RF
4065,5854,126.5150684,45.90318078,32,19.18472755,0.513618424,720.8364423,0.46571824,20.06665441660003
4069,5858,126.5099813,45.90376043,32,19.18472755,0.513618424,405.9292771,0.46571824,20.06665441660003
4084,5874,126.5227497,45.89136633,32,19.18472755,0.513618424,1385.550356,0.46574337,20.032734152500026
4085,5875,126.5074914,45.89310567,32,19.18472755,0.513618424,409.5488327,0.46571824,20.06665441660003
4086,5876,126.5286668,45.89433756,32,19.18472755,0.513618424,405.5515277,0.46497732,20.06665441660003
4087,5877,126.5184942,45.89549787,32,19.18472755,0.513618424,726.8633203,0.46574337,20.06665441660003
4088,5878,126.5193248,45.89904939,32,19.18472755,0.513618424,417.8386136,0.46574337,20.06665441660003
4089,5879,126.5252425,45.90202081,32,19.18472755,0.460420398,4237.555179,0.44455692,21.67669644860004
4090,5880,126.5201555,45.90260091,32,19.18472755,0.460420398,405.2922412,0.44455692,21.570169034800042
4091,5881,126.5244115,45.89846932,32,19.18472755,0.513618424,1608.262243,0.46574337,20.010120643100027
4093,5883,126.5176637,45.89194634,32,19.18472755,0.513618424,1153.065585,0.46571824,20.05534766190003
4094,5884,126.5125776,45.89252612,32,19.18472755,0.513618424,805.3930896,0.46571824,20.06665441660003
4095,5885,126.5235806,45.89491783,32,19.18472755,0.513618424,1497.937061,0.46574337,20.010120643100027
4096,5886,126.5345845,45.8973085,32,19.18472755,0.513618424,809.5853908,0.46497732,20.06665441660003
4097,5887,126.538839,45.89317634,32,19.18472755,0.513618424,810.9519423,0.46497732,20.12318819010003
4098,5888,126.5303294,45.90144048,32,19.18472755,0.460420398,1054.119216,0.44419276,21.570169034800042
4099,5889,126.529498,45.89788902,32,19.18472755,0.513618424,404.7215681,0.46497732,20.06665441660003
4102,5892,126.5396709,45.89672774,32,19.18472755,0.513618424,1108.5289,0.46497732,20.11188143540003
4121,5911,126.5405028,45.90027914,32,19.18472755,0.513618424,1674.038947,0.46497732,20.066654416600027
4171,5998,126.5372709,45.86418418,32,19.18472755,0.61247208,1280.388426,0.61324199,20.07796117130003
4174,6001,126.5525205,45.86244067,32,20.31540302,0.61247208,3622.722987,0.612083,20.123188190100024
4225,6052,126.5482695,45.86657343,32,19.18472755,0.61247208,3335.791239,0.61324199,20.077961171300025
4226,6053,126.5533529,45.865992,32,20.31540302,0.61247208,2960.902497,0.61324199,20.123188190100024
4227,6054,126.5541854,45.86954333,32,19.18472755,0.61247208,5722.10007,0.61230106,20.03273415250002
4228,6055,126.5431859,45.86715463,32,19.18472755,0.61247208,1616.837232,0.61230106,20.077961171300025
4229,6056,126.5499339,45.87367613,32,19.18472755,0.61247208,5192.663631,0.6086643,20.03273415250002
4230,6057,126.5440178,45.87070602,32,19.18472755,0.61247208,2940.891202,0.61048096,20.044040907200024
4231,6058,126.5354162,45.90085992,32,19.18472755,0.460420398,1438.612673,0.44326585,21.570169034800042
4232,6059,126.5474374,45.86302207,32,20.31540302,0.61247208,3383.516433,0.612083,20.077961171300025
4234,6061,126.5491016,45.87012479,32,19.18472755,0.61247208,4966.489833,0.61230106,20.021427397800018
4239,6066,126.5448497,45.87425739,32,19.18472755,0.61247208,2970.910494,0.6086643,20.044040907200024
4240,6067,126.5550179,45.87309464,32,19.18472755,0.61247208,9646.010466,0.61004684,20.04404090720002
4243,6070,126.5456817,45.87780877,32,19.18472755,0.61247208,1499.473572,0.60823526,20.089267926000026
