FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF,PM_RF
1061,1813,126.6182495,45.67618746,18,16.39797544,0.460420398,1443.578074,0.45514858,16.39797544
1063,1815,126.6089519,45.68090766,18,16.39797544,0.460420398,1660.641824,0.45574604,16.39797544
1064,1816,126.6190838,45.67973844,18,16.39797544,0.460420398,656.5898165,0.45465807,16.39797544
1066,1818,126.6224804,45.67205158,18,17.23575477,0.431791918,850.6243217,0.4263428,17.23575477
1078,1830,126.5945862,45.68621091,18,17.23575477,0.460420398,1325.939032,0.45663677,17.23575477
1079,1831,126.5895195,45.68679453,18,18.16158725,0.460420398,1681.433586,0.45490087,18.16158725
1080,1832,126.5954191,45.68976203,18,18.16158725,0.460420398,784.7528136,0.45710061,18.16158725
1081,1833,126.5903521,45.69034568,18,18.16158725,0.460420398,842.0813584,0.45536471,18.16158725
1082,1834,126.585285,45.6909291,18,18.16158725,0.460420398,1607.109584,0.45536471,18.16158725
1083,1835,126.5988196,45.68207597,18,17.23575477,0.460420398,1578.093948,0.45632776,17.23575477
1084,1836,126.6097856,45.6844587,18,17.23575477,0.460420398,1339.248402,0.45620682,17.23575477
1085,1837,126.588687,45.68324337,18,17.23575477,0.460420398,1225.984444,0.45459186,17.23575477
1086,1838,126.6047192,45.685043,18,17.23575477,0.460420398,1852.800131,0.45689988,17.23575477
1087,1839,126.5937534,45.68265978,18,17.23575477,0.460420398,1400.556416,0.45632776,17.23575477
1088,1840,126.6106195,45.68800973,18,17.23575477,0.460420398,1219.555955,0.45697967,17.23575477
1089,1841,126.5996528,45.68562707,18,17.23575477,0.460420398,998.6556528,0.45663677,17.23575477
1090,1842,126.6055528,45.68859406,18,17.23575477,0.460420398,879.8602877,0.45736372,17.23575477
1092,1844,126.600486,45.68917816,18,18.16158725,0.460420398,1648.952976,0.45710061,18.16158725
1093,1845,126.6114534,45.69156076,18,18.16158725,0.460420398,2604.884989,0.45617912,18.16158725
1095,1847,126.5861173,45.69448028,18,19.18472755,0.460420398,501.8963665,0.45536471,19.18472755
1102,1854,126.6013193,45.69272925,18,18.16158725,0.460420398,1006.06413,0.45715818,18.16158725
1104,1856,126.5962521,45.69331315,18,18.16158725,0.460420398,2280.993057,0.45715818,18.16158725
1105,1857,126.5911848,45.69389683,18,18.16158725,0.460420398,1737.596383,0.45536471,18.16158725
1106,1858,126.6063864,45.69214512,18,18.16158725,0.460420398,838.6464726,0.45703724,18.16158725
1111,1863,126.6038858,45.68149193,18,16.39797544,0.460420398,1899.639665,0.45659087,16.39797544
1112,1864,126.6148519,45.68387417,18,17.23575477,0.460420398,1780.499685,0.4553487,17.23575477
1113,1865,126.625819,45.68625538,18,17.23575477,0.460420398,420.8185082,0.45536814,17.23575477
1114,1866,126.6207526,45.68684039,18,17.23575477,0.460420398,983.1254362,0.45542786,17.23575477
1116,1868,126.6215872,45.69039136,18,17.23575477,0.460420398,842.7534255,0.4558917,17.23575477
1117,1869,126.6156861,45.68742517,18,17.23575477,0.460420398,290.1690101,0.45565771,17.23575477
1118,1870,126.6165203,45.69097617,18,17.23575477,0.460420398,1050.839918,0.4558917,17.23575477
1120,1872,126.6266539,45.68980632,18,17.23575477,0.460420398,603.9628275,0.45583198,17.23575477
1129,1881,126.6199181,45.68328942,18,17.23575477,0.460420398,854.4411673,0.45511885,17.23575477
1131,1883,126.6249842,45.68270444,18,17.23575477,0.460420398,994.9785246,0.45505913,17.23575477
684,1403,126.5227177,45.71269914,19,20.31540302,0.513618424,2264.001925,0.48489572,20.31540302
